Timestamp,How long have you lived in Somerville?,Do you rent or own your place of residence?,"If you own, what type of home do you own?","If a Condo, how many units are in your building?",Are you interested in reducing your energy use?,Have you had an energy audit done in your home?,Please select any measures you have taken to reduce your energy usage.,Would you be interested in a program offered through the City where Somerville residents can receive information on solar for their homes and reduced pricing for solar? ,"If you own a business or commercial building, are you interested in a commercial solar program offered through the City of Somerville?",Are you interested in installing solar PV on your house?,"If you’ve been thinking about installing solar panels, what has held you back?","If you were to install solar PV on your home or business, is your preference to:",Would you like to volunteer on a residential solar outreach effort to get your friends and neighbors to install solar on their homes?,"If solar was not a good fit for your home, the City of Somerville could potentially offer a “community solar project”, where people can opt in to purchase solar shares of a solar project located inside or near Somerville, in essence retaining the same ben",There are various ways in funding a community solar project. Would you be interested in purchasing shares of a community solar project where you could receive the same benefits of owning a system of your own?  Knowing you could receive the energy output f,Please indicate if you would like further information on the following in regards to solar panels (select any and all that you may have),Do you own an electric vehicle?,"If no, have you considered purchasing one?",Would your preference be to charge an electric vehicle in your driveway or charge it in a public lot?
01/23/2015 11:42:34 AM,10-15 years,Rent,,,Yes,No,Shut off lights when not in use,"Yes, very interested",,rent,rent,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 04:35:09 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,I dont have a home,,,"Maybe, let's talk",Very interested,No,,No,No,
01/08/2015 03:28:49 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, Use reflective coating on flat roofs. And manually control blinds on South facing windows. ","Yes, very interested",,"Yes, but I don't think my roof is suitable",Size of home and location. ,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 10:36:58 AM,2-5 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Working with other condo owner,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
02/15/2015 08:54:30 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",Yes,Yes,worrying about shade on our roof,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/12/2015 07:44:58 PM,2-5 years,Rent,,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, new doors","Yes, very interested",,"Maybe, I need to learn more",,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/24/2015 03:04:36 PM,10-15 years,Own,Condo,3,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, Our condo was renovated about 10 years ago, so we already have good windows and decent insulation, but we replaced some older insulation with higher efficiency insulation.","Yes, very interested",,Yes,"We'd have to work it out with the whole condo association, if there were options for just our unit that might work better/be easier to implement.",Whatever was more cost effective.,No,Very interested,Yes,Financing Options,No,Yes,Driveway
01/10/2015 06:01:13 PM,5-10 years,Own,Condo,3,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more", condo association,,No,Very interested,Yes,,No,Yes,Driveway
01/09/2015 02:14:53 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
02/05/2015 02:41:13 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,,No,Very interested,Yes,"Permitting, Financing Options",No,Yes,Driveway
01/24/2015 05:22:08 PM,10-15 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Technology,,No,Very interested,Yes,,No,Yes,Driveway
01/12/2015 10:23:06 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Don't know ,Yes,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 12:00:04 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, Solar Panels","Yes, somewhat interested",No,"No, I already have solar PV",Difficulty of figuring it all out,Lease the system,Yes,Very interested,Yes,"Permitting, Interconnection & Net Metering",No,Yes,Driveway
01/23/2015 02:43:31 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,Lease the system,Yes,Very interested,Yes,Financing Options,No,Yes,Driveway
01/23/2015 05:27:17 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,evolution of cost,Purchase the system outright,Yes,Very interested,Yes,"Permitting, Planning & Zoning",No,Yes,Driveway
01/08/2015 04:24:20 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,,,Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/09/2015 10:41:29 AM,20+ years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Lease the system,"Maybe, let's talk",Very interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 02:08:53 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",roof issues,Lease the system,"Maybe, let's talk",Very interested,,"Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/09/2015 06:16:58 AM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,No,Very interested,,,No,Yes,Driveway
01/09/2015 11:22:16 AM,2-5 years,Rent,Multi-family (4+ units),,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Renter in an apartment building,Renter in an apartment building,Lease the system,No,Very interested,Yes,,Yes,,Public Lot
01/25/2015 07:47:41 PM,10-15 years,Own,Condo,3,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, keep heat very low","Yes, very interested",,"Yes, but I don't think my roof is suitable",cost and dont think my roof faces the right direction. Also there are multiple owners.,I don't know which is better.,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Hybrid,,Driveway
01/23/2015 03:00:08 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,renovation,not sure,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Hybrid,,Driveway
01/26/2015 11:57:50 AM,2-5 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Technology,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Financing Options",Hybrid,,Driveway
01/24/2015 02:24:03 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Waiting until roof needs to be replaced,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,Financing Options,Hybrid,,Driveway
01/26/2015 11:08:29 AM,10-15 years,Own,Condo,2,Yes,No,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Haven't had the time to research,Unsure,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",Hybrid,,Driveway
01/24/2015 02:50:30 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",need to research to compare the different programs and companies,don't know,No,Very interested,Yes,,Hybrid,,Driveway
02/05/2015 03:33:10 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",someone did an audit for us once (I forget which company) but it would have been a lot of money up front.,"I don't know enough to answer this (what is PV? what are implications of installing it?) I'd prefer to support the city in switching to solar and other clean energy sources as a first step, such as the community solar shares.",No,Very interested,Yes,,Hybrid,,Driveway
02/10/2015 07:22:04 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed energy star rated windows, blower door test",Not interested at all,,"As I said, a solar business say no to our house. If solar could be effective with our house, then yes.",See above.,No sure.,No,Very interested,Yes,,Hybrid,,Driveway
01/23/2015 01:10:47 PM,10-15 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't own the property",I rent,Probably go through the landlord?,No,Very interested,Yes,,No,,Driveway
01/25/2015 09:58:03 AM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use, energy star appliances","Yes, very interested",,"Yes, but I don't think my roof is suitable",don't think my roof is oriented right,,"Maybe, let's talk",Very interested,Yes,,Yes,,Driveway
01/24/2015 04:05:49 PM,5-10 years,Rent,,,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Shut off lights when not in use, Plastic on windows in winter","Yes, very interested",,if I owned then yes,,,"Maybe, let's talk",Very interested,No,,No,No,Public Lot
01/23/2015 01:29:53 PM,2-5 years,Own,Condo,5,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Very interested,No,,No,No,Public Lot
02/18/2015 04:56:29 PM,20+ years,Own,Condo,4,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,Yes,Lack of understanding,I don't know,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,No,Public Lot
01/23/2015 02:24:39 PM,5-10 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Public Lot
01/10/2015 04:07:41 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,Financing Options,No,No,Public Lot
01/23/2015 11:50:13 AM,10-15 years,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,No,Public Lot
01/10/2015 09:48:35 PM,2-5 years,Own,Single family,,Yes,No,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Public Lot
01/27/2015 06:44:33 AM,20+ years,Own,Condo,2,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,,Yesm but NOT SURE if our roof is suitable,Depends on costs,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Public Lot
01/09/2015 02:02:37 PM,2-5 years,Own,Condo,6,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Don't need it,dont know,No,Very interested,Yes,,No,No,Public Lot
02/01/2015 08:34:02 PM,5-10 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Haven't raised with condo assoc yet,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,No,Public Lot
01/09/2015 03:57:46 PM,2-5 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,,No,Very interested,Yes,,No,No,Public Lot
01/09/2015 12:08:42 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",,,No,Very interested,Yes,Interconnection & Net Metering,No,No,Public Lot
01/23/2015 12:13:13 PM,2-5 years,Rent,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",Yes,Yes,timing,either,No,Very interested,Yes,,Hybrid,Yes,Public Lot
01/09/2015 05:09:54 PM,5-10 years,Own,Condo,2,Yes,No,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,"Maybe, let's talk",Very interested,No,Financing Options,No,Yes,Public Lot
01/13/2015 09:49:29 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost & lack of understanding,Goverment sponsored,No,Very interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning",No,Yes,Public Lot
01/12/2015 04:23:34 PM,1-2 years,Rent,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",availability to renters,Lease the system,No,Very interested,No,,No,Yes,Public Lot
01/29/2015 12:29:24 PM,2-5 years,Own,Condo,5,Yes,No,"Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,Lease the system,No,Very interested,No,,No,Yes,Public Lot
01/09/2015 12:15:58 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,,No,Very interested,No,Financing Options,No,Yes,Public Lot
01/08/2015 03:31:52 PM,15-20 years,Own,Condo,2,Yes,No,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",historic society might not allow on the slate roof a solar panel,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Financing Options",No,Yes,Public Lot
01/23/2015 01:11:08 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Orientation of roof,Lease the system,"Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,Yes,Public Lot
01/24/2015 04:23:22 PM,5-10 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",Cost,Lease to own,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
01/27/2015 11:46:12 AM,20+ years,Own,Condo,2,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,,Yesm but NOT SURE if our roof is suitable,Depends on costs,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Public Lot
01/23/2015 05:49:36 PM,10-15 years,Own,Condo,,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Condo Board Agreement,Lease the system,No,Very interested,Yes,Financing Options,No,Yes,Public Lot
01/15/2015 05:47:11 AM,< 1 year,Rent,Single family,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,No,Very interested,Yes,,No,Yes,Public Lot
01/09/2015 06:31:08 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes -talking to landlord.,Somerville Building Department is known for significant and egregious delays in permitting for solar.,Purchase the system outright,Yes,Very interested,Yes,Permitting,No,Yes,Public Lot
01/08/2015 12:45:04 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, unplug appliances","Yes, very interested",,renter,,,,Very interested,Yes,,No,Yes,Public Lot
01/15/2015 10:45:46 AM,1-2 years,Rent,,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",don't own so must convince owner,,"Maybe, let's talk",Very interested,No,,Hybrid,,Public Lot
01/25/2015 06:04:37 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",,,No,Very interested,Yes,,Hybrid,,Public Lot
02/19/2015 07:27:17 AM,15-20 years,Own,Single family,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, Got rid of car","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Lease the system,No,Very interested,No,"Permitting, Interconnection & Net Metering, Financing Options",No,No,
02/22/2015 06:31:16 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,No,Very interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/10/2015 05:06:29 PM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Technology,Purchase the system outright,No,Very interested,No,"Interconnection & Net Metering, Financing Options",No,No,
01/23/2015 11:41:26 AM,2-5 years,Own,Condo,3,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use",Not interested at all,,"Yes, but I know for a fact my roof is unsuitable.",,Purchase the system outright,No,Very interested,No,,No,No,
01/09/2015 07:03:07 PM,10-15 years,Rent,,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, low flow shower head","Yes, somewhat interested",,It would have to be okayed by my landlord,,,No,Very interested,No,,No,No,
01/08/2015 09:46:42 AM,5-10 years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use, efficient appliances","Yes, very interested",,"Yes, but don't know if we're good candidates due to positioning etc...",Cost and not enough information yet,Don't know - probably purchase,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/09/2015 12:33:15 PM,< 1 year,Rent,Multi-family (1-4 units),,Yes,No,used weather stripping and plastic cover over windows and reduce heat when neccesary,"Yes, very interested",,Yes,I didn't there would be an opportunity as a renter,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/23/2015 12:54:53 PM,20+ years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,not sure,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/14/2015 10:45:25 AM,2-5 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use",Not interested at all,,"No, I already have solar PV",,,"Maybe, let's talk",Very interested,Yes,,No,No,
02/06/2015 07:53:29 PM,10-15 years,Rent,,,Yes,No,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,depends on the pros/cons of purchase vs. lease.  Need more info.,No,Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,No,
01/24/2015 03:06:02 PM,1-2 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, Put plastic on windows","Yes, very interested",,"Maybe, I need to learn more",I rent and I don't know if my landlord would be into it,Don't know,No,Very interested,Yes,,No,No,
01/23/2015 05:04:12 PM,5-10 years,Rent,Condo,,Yes,No,"Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",Yes,"Yes, but I don't think my roof is suitable",I live in a condo & we'd need board approval among other hurdles!,I don't know!,No,Very interested,Yes,,No,No,
01/09/2015 11:03:59 AM,5-10 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/25/2015 04:13:29 PM,15-20 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,just bought a new house,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/23/2015 12:18:54 PM,< 1 year,Rent,,,Yes,No,"Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"renter, would love to but not really up to me","Not sure possible if renting, would like to know more about the process",Lease the system,No,Very interested,Yes,,No,No,
01/09/2015 07:17:51 PM,20+ years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Not the right exposure,Lease the system,No,Very interested,Yes,,No,No,
01/23/2015 08:22:18 PM,2-5 years,Own,Condo,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Yes, but I don't think my roof is suitable",Cost,Not sure,No,Very interested,Yes,,No,No,
01/25/2015 10:13:08 AM,15-20 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,No,Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,No,
01/24/2015 08:04:04 AM,10-15 years,Own,Condo,6,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,"It's not up to me, it's up to the condo board.",Whichever seems more cost-effective,No,Very interested,Yes,,No,No,
01/11/2015 01:00:21 PM,10-15 years,Own,Condo,3,Yes,Yes,New construction high-efficiency building,"Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,,No,Very interested,Yes,,No,No,
01/14/2015 10:53:03 AM,5-10 years,Rent,,,Yes,No,,"Yes, somewhat interested",,,,,No,Very interested,Yes,,No,No,
01/10/2015 09:53:10 AM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,,,,No,Very interested,Yes,,No,No,
02/01/2015 09:06:41 PM,2-5 years,Own,Condo,3,Yes,No,"Installed a high efficiency hot water system, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of time to look into it,Depends on pricing,,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,
01/23/2015 02:05:57 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, unplug appliances","Yes, somewhat interested",,renter,,,,Very interested,Yes,,No,No,
01/23/2015 12:55:28 PM,20+ years,Own,Single family,,Yes,No,,"Yes, somewhat interested",,"Maybe, I need to learn more",Cost,don't know,No,Very interested,,,No,No,
01/25/2015 03:23:36 PM,20+ years,Own,Condo,2,Yes,Yes,"Next STEP was not helpful, but i generally have good low-energy habits","Yes, very interested",No,"Yes, but I don't think it's cost effective",Cost and not having south-facing roof pitch,Don't know,No,Very interested,,Financing Options,No,No,
